state,forward,left,right,none
"{'light': 'green', 'left': 'none', 'oncoming': 'right', 'waypoint': 'left'}",0.83,-15.56,0.38,-4.14
"{'light': 'red', 'left': 'none', 'oncoming': 'right', 'waypoint': 'forward'}",-12.71,-38.88,0.56,1.92
"{'light': 'green', 'left': 'forward', 'oncoming': 'left', 'waypoint': 'right'}",0.40,0.55,1.88,-4.48
"{'light': 'green', 'left': 'none', 'oncoming': 'forward', 'waypoint': 'forward'}",1.72,-19.99,0.84,-4.81
"{'light': 'green', 'left': 'none', 'oncoming': 'none', 'waypoint': 'forward'}",1.97,0.94,0.86,-4.98
"{'light': 'red', 'left': 'none', 'oncoming': 'forward', 'waypoint': 'forward'}",-9.71,-11.95,0.85,2.09
"{'light': 'green', 'left': 'forward', 'oncoming': 'left', 'waypoint': 'left'}",0.92,1.67,0.84,-4.88
"{'light': 'green', 'left': 'left', 'oncoming': 'right', 'waypoint': 'forward'}",0.20,-12.73,1.00,-2.47
"{'light': 'red', 'left': 'left', 'oncoming': 'right', 'waypoint': 'forward'}",-2.39,-22.58,1.13,0.18
"{'light': 'red', 'left': 'left', 'oncoming': 'right', 'waypoint': 'right'}",-3.50,-24.56,0.00,0.82
"{'light': 'green', 'left': 'none', 'oncoming': 'right', 'waypoint': 'right'}",0.45,-17.59,1.94,-4.45
"{'light': 'green', 'left': 'right', 'oncoming': 'none', 'waypoint': 'forward'}",2.11,0.63,0.61,-5.13
"{'light': 'green', 'left': 'none', 'oncoming': 'none', 'waypoint': 'right'}",0.85,0.41,1.78,-5.20
"{'light': 'green', 'left': 'forward', 'oncoming': 'right', 'waypoint': 'forward'}",1.72,-3.22,0.12,-2.23
"{'light': 'green', 'left': 'left', 'oncoming': 'none', 'waypoint': 'left'}",0.86,1.75,0.71,-4.85
"{'light': 'green', 'left': 'forward', 'oncoming': 'right', 'waypoint': 'right'}",0.93,-6.12,0.95,-3.32
"{'light': 'red', 'left': 'none', 'oncoming': 'right', 'waypoint': 'right'}",-17.89,-35.12,1.79,0.68
"{'light': 'green', 'left': 'left', 'oncoming': 'right', 'waypoint': 'left'}",0.83,-19.94,0.20,-1.06
"{'light': 'green', 'left': 'right', 'oncoming': 'forward', 'waypoint': 'forward'}",1.57,-8.70,0.57,-0.59
"{'light': 'red', 'left': 'right', 'oncoming': 'forward', 'waypoint': 'forward'}",-2.80,-5.79,0.45,1.77
"{'light': 'green', 'left': 'right', 'oncoming': 'left', 'waypoint': 'forward'}",1.88,0.59,0.19,-4.45
"{'light': 'green', 'left': 'right', 'oncoming': 'forward', 'waypoint': 'left'}",0.68,-10.07,0.02,-1.47
"{'light': 'green', 'left': 'left', 'oncoming': 'forward', 'waypoint': 'right'}",0.33,-2.49,1.49,-4.19
"{'light': 'green', 'left': 'right', 'oncoming': 'right', 'waypoint': 'right'}",0.00,-3.23,0.83,-3.69
"{'light': 'green', 'left': 'forward', 'oncoming': 'forward', 'waypoint': 'forward'}",1.87,-14.95,0.61,-5.20
"{'light': 'green', 'left': 'forward', 'oncoming': 'none', 'waypoint': 'forward'}",1.93,0.92,0.55,-5.04
"{'light': 'green', 'left': 'none', 'oncoming': 'left', 'waypoint': 'right'}",0.48,1.18,1.83,-4.99
"{'light': 'red', 'left': 'none', 'oncoming': 'forward', 'waypoint': 'left'}",-10.18,-11.69,0.89,1.85
"{'light': 'red', 'left': 'left', 'oncoming': 'forward', 'waypoint': 'right'}",-5.04,-10.86,2.08,0.75
"{'light': 'green', 'left': 'left', 'oncoming': 'left', 'waypoint': 'forward'}",1.81,0.49,0.66,-3.73
"{'light': 'red', 'left': 'right', 'oncoming': 'forward', 'waypoint': 'left'}",-12.56,-14.88,0.43,1.93
"{'light': 'red', 'left': 'none', 'oncoming': 'right', 'waypoint': 'left'}",-13.04,-39.97,0.72,1.90
"{'light': 'red', 'left': 'right', 'oncoming': 'right', 'waypoint': 'forward'}",-3.47,-16.33,0.18,1.52
"{'light': 'green', 'left': 'left', 'oncoming': 'forward', 'waypoint': 'left'}",0.79,-4.44,0.48,-3.24
"{'light': 'red', 'left': 'left', 'oncoming': 'left', 'waypoint': 'left'}",-19.13,-11.73,0.79,1.99
"{'light': 'red', 'left': 'left', 'oncoming': 'none', 'waypoint': 'left'}",-12.36,-16.34,0.72,1.77
"{'light': 'green', 'left': 'right', 'oncoming': 'right', 'waypoint': 'left'}",0.03,-15.69,0.32,-0.71
"{'light': 'green', 'left': 'right', 'oncoming': 'forward', 'waypoint': 'right'}",0.68,-7.41,1.23,-3.08
"{'light': 'green', 'left': 'right', 'oncoming': 'none', 'waypoint': 'left'}",0.75,1.75,0.59,-4.90
"{'light': 'red', 'left': 'right', 'oncoming': 'none', 'waypoint': 'forward'}",-8.16,-11.83,0.70,1.79
"{'light': 'green', 'left': 'forward', 'oncoming': 'none', 'waypoint': 'left'}",0.99,2.00,0.81,-4.90
"{'light': 'red', 'left': 'forward', 'oncoming': 'left', 'waypoint': 'left'}",-30.60,-34.43,-2.47,1.95
"{'light': 'red', 'left': 'right', 'oncoming': 'right', 'waypoint': 'left'}",-7.56,-18.73,0.09,1.03
"{'light': 'green', 'left': 'none', 'oncoming': 'right', 'waypoint': 'forward'}",1.70,-19.33,0.66,-4.64
"{'light': 'red', 'left': 'forward', 'oncoming': 'none', 'waypoint': 'left'}",-39.75,-39.79,-19.96,1.79
"{'light': 'green', 'left': 'left', 'oncoming': 'right', 'waypoint': 'right'}",0.64,0.00,1.54,-4.43
"{'light': 'red', 'left': 'right', 'oncoming': 'right', 'waypoint': 'right'}",-5.34,-5.63,1.35,0.47
"{'light': 'red', 'left': 'forward', 'oncoming': 'right', 'waypoint': 'left'}",-24.15,-27.78,-14.39,1.58
"{'light': 'green', 'left': 'left', 'oncoming': 'none', 'waypoint': 'right'}",0.67,0.73,1.85,-4.94
"{'light': 'red', 'left': 'right', 'oncoming': 'none', 'waypoint': 'right'}",-8.65,-12.49,1.68,0.37
"{'light': 'red', 'left': 'left', 'oncoming': 'forward', 'waypoint': 'forward'}",-8.53,-12.10,0.85,1.99
"{'light': 'red', 'left': 'left', 'oncoming': 'none', 'waypoint': 'right'}",-17.52,-12.51,1.88,0.91
"{'light': 'red', 'left': 'forward', 'oncoming': 'right', 'waypoint': 'right'}",-21.72,-20.33,-4.13,0.81
"{'light': 'green', 'left': 'right', 'oncoming': 'left', 'waypoint': 'right'}",0.52,0.58,0.29,-2.64
"{'light': 'red', 'left': 'none', 'oncoming': 'none', 'waypoint': 'right'}",-12.92,-14.86,1.91,0.96
"{'light': 'red', 'left': 'none', 'oncoming': 'left', 'waypoint': 'left'}",-11.35,-14.55,0.90,2.04
"{'light': 'red', 'left': 'forward', 'oncoming': 'forward', 'waypoint': 'forward'}",-23.44,-28.57,-9.12,1.88
"{'light': 'green', 'left': 'left', 'oncoming': 'none', 'waypoint': 'forward'}",1.89,0.68,0.71,-4.96
"{'light': 'green', 'left': 'forward', 'oncoming': 'none', 'waypoint': 'right'}",1.02,0.43,1.89,-5.04
"{'light': 'green', 'left': 'left', 'oncoming': 'forward', 'waypoint': 'forward'}",1.81,-14.69,0.23,-1.09
"{'light': 'green', 'left': 'forward', 'oncoming': 'forward', 'waypoint': 'left'}",0.83,-9.09,0.50,-3.95
"{'light': 'red', 'left': 'left', 'oncoming': 'left', 'waypoint': 'forward'}",-19.18,-6.81,0.80,1.99
"{'light': 'green', 'left': 'right', 'oncoming': 'none', 'waypoint': 'right'}",1.11,0.55,2.06,-3.59
"{'light': 'green', 'left': 'none', 'oncoming': 'forward', 'waypoint': 'left'}",0.55,-20.34,0.88,-4.86
"{'light': 'red', 'left': 'none', 'oncoming': 'left', 'waypoint': 'forward'}",-11.82,-10.86,1.04,1.88
"{'light': 'red', 'left': 'forward', 'oncoming': 'none', 'waypoint': 'forward'}",-39.95,-39.71,-19.50,1.76
"{'light': 'green', 'left': 'left', 'oncoming': 'left', 'waypoint': 'left'}",0.64,1.69,0.42,-4.66
"{'light': 'red', 'left': 'forward', 'oncoming': 'none', 'waypoint': 'right'}",-39.27,-39.18,-19.91,0.81
"{'light': 'red', 'left': 'none', 'oncoming': 'left', 'waypoint': 'right'}",-13.46,-10.47,1.76,0.61
"{'light': 'red', 'left': 'none', 'oncoming': 'none', 'waypoint': 'left'}",-11.44,-10.55,0.66,1.78
"{'light': 'red', 'left': 'none', 'oncoming': 'forward', 'waypoint': 'right'}",-10.57,-15.08,1.94,1.08
"{'light': 'red', 'left': 'forward', 'oncoming': 'left', 'waypoint': 'right'}",-32.99,-32.00,-19.69,0.84
"{'light': 'red', 'left': 'left', 'oncoming': 'left', 'waypoint': 'right'}",-15.93,-2.06,1.92,0.65
"{'light': 'green', 'left': 'left', 'oncoming': 'left', 'waypoint': 'right'}",0.70,0.48,1.94,-2.40
"{'light': 'green', 'left': 'none', 'oncoming': 'forward', 'waypoint': 'right'}",0.67,-19.64,2.01,-5.03
"{'light': 'green', 'left': 'none', 'oncoming': 'left', 'waypoint': 'left'}",0.82,1.91,0.77,-5.07
"{'light': 'green', 'left': 'forward', 'oncoming': 'left', 'waypoint': 'forward'}",1.81,0.66,0.83,-3.85
"{'light': 'red', 'left': 'forward', 'oncoming': 'right', 'waypoint': 'forward'}",-18.98,-11.62,-8.99,1.80
"{'light': 'green', 'left': 'forward', 'oncoming': 'right', 'waypoint': 'left'}",0.95,-16.89,0.71,-2.76
"{'light': 'green', 'left': 'none', 'oncoming': 'left', 'waypoint': 'forward'}",1.77,0.81,0.94,-5.04
"{'light': 'red', 'left': 'forward', 'oncoming': 'forward', 'waypoint': 'right'}",-23.31,-19.72,-15.90,0.58
"{'light': 'green', 'left': 'forward', 'oncoming': 'forward', 'waypoint': 'right'}",0.81,-7.92,1.56,-2.17
"{'light': 'red', 'left': 'right', 'oncoming': 'none', 'waypoint': 'left'}",-11.97,-10.73,0.61,1.95
"{'light': 'red', 'left': 'none', 'oncoming': 'none', 'waypoint': 'forward'}",-10.07,-13.20,1.10,1.70
"{'light': 'red', 'left': 'forward', 'oncoming': 'left', 'waypoint': 'forward'}",-25.42,-25.21,-15.29,1.97
"{'light': 'green', 'left': 'right', 'oncoming': 'right', 'waypoint': 'forward'}",0.00,-2.44,0.58,-0.67
"{'light': 'red', 'left': 'right', 'oncoming': 'left', 'waypoint': 'forward'}",-13.03,-9.77,0.67,1.82
"{'light': 'red', 'left': 'right', 'oncoming': 'left', 'waypoint': 'right'}",-11.83,-4.10,1.98,0.61
"{'light': 'red', 'left': 'right', 'oncoming': 'forward', 'waypoint': 'right'}",-3.11,-6.72,1.04,0.77
"{'light': 'red', 'left': 'right', 'oncoming': 'left', 'waypoint': 'left'}",-9.94,-7.71,0.62,2.07
"{'light': 'red', 'left': 'left', 'oncoming': 'forward', 'waypoint': 'left'}",-10.66,-16.03,0.86,1.79
"{'light': 'red', 'left': 'left', 'oncoming': 'none', 'waypoint': 'forward'}",-14.50,-16.02,0.83,1.95
"{'light': 'green', 'left': 'none', 'oncoming': 'none', 'waypoint': 'left'}",0.85,1.91,0.92,-5.08
"{'light': 'green', 'left': 'right', 'oncoming': 'left', 'waypoint': 'left'}",0.44,1.58,0.52,-4.86
"{'light': 'red', 'left': 'left', 'oncoming': 'right', 'waypoint': 'left'}",-15.02,-24.69,0.20,1.62
"{'light': 'red', 'left': 'forward', 'oncoming': 'forward', 'waypoint': 'left'}",-15.83,-35.57,-9.44,2.06

